Магазин,Категория,Название,Цена,Цена без скидки,Ссылка,Изображение
Ригла,Дермакосметика,Алпизарин мазь 5% 10г,134.0,134.0,https://www.rigla.ru/product/alpizarin-maz-5-10g-68,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/6/8/68-6-c-b-a-6cba92408b4c297dc16e1e09800a78906b2f1fe9_68.jpeg
Ригла,Дермакосметика,Пантенол мазь для наружного применения туба 5% 25г,171.0,171.0,https://www.rigla.ru/product/pantenol-maz-dnaruzh-prim-tuba-5-25g-4998566,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4998566-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Циндол суспензия 125г,387.0,387.0,https://www.rigla.ru/product/tsindol-susp-naruzhn-125g-60013,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/6/0/60013-d-a-1-e-da1ecb270910dbb71496fc213eb4d1a79e050257_60013.jpg
Ригла,Дермакосметика,Витамин F99 Прокто 50г,468.0,468.0,https://www.rigla.ru/product/vitamin-f99-prokto-50g-4994256,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4994256-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Глицерин раствор флакон 100г,120.0,120.0,https://www.rigla.ru/product/glitserin-r-r-fl-100g-5001856,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5001856-f-7-f-b-f7fb4a715582162ff7e34d027feb94003977fd4f_5001856.jpg
Ригла,Дермакосметика,Чистотела трава 50г,207.0,207.0,https://www.rigla.ru/product/chistotela-trava-50g-118278,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/118278-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,бадяга форте гель 75мл,189.0,189.0,https://www.rigla.ru/product/badyaga-forte-gel-75ml-444953,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/444953-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"ТРАВМОСАН 20,0 МАЗЬ для НАРУЖ ПРИМ ГОМЕОПАТ",326.0,326.0,https://www.rigla.ru/product/travmosan-200-maz-dnaruzh-prim-gomeopat-5007059,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007059-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Камфора гранулы гомеопатические 8г,324.0,324.0,https://www.rigla.ru/product/kamfora-granuly-gomeopat-8g-35663,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/5/35663-8-7-8-3-8783bd101d8578479d053370f93680a6212691a6_35663.jpg
Ригла,Дермакосметика,Курадерм крем 20мл,23780.0,23780.0,https://www.rigla.ru/product/kuraderm-krem-20ml-102990,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/0/102990-e-4-b-3-e4b3dc60654fe58b69d42240d6e16e3a603e7591_102990.jpg
Ригла,Дермакосметика,Каленгам Эдас-201 мазь гом 25г / ушибы / ожоги,255.0,255.0,https://www.rigla.ru/product/kalengam-edas-201-maz-gom-25gushibyozhogi-2152,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/2/1/2152-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Камелокс гель для кожи с коллагеназой туба 20г,1010.0,1010.0,https://www.rigla.ru/product/kameloks-gel-dlya-kozhi-s-kollagenazoy-tuba-20g-116262,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/116262-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"Фурацилин раствор 0,02% 250МЛ",117.0,117.0,https://www.rigla.ru/product/furatsilin-r-r-002-250ml-5002068,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5002068-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Муравьиный спирт раствор для наружного применения 50мл,77.0,77.0,https://www.rigla.ru/product/muravinyy-spirt-r-r-dnaruzhprim-50ml-45062,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/5/45062-5-5-a-4-55a44aad518b911a440621e2131be0547ce649b0_45062.jpg
Ригла,Дермакосметика,Левомицетин раствор спиртовой 3% 25мл,72.5,72.5,https://www.rigla.ru/product/levomitsetin-r-r-spirtovoy-3-25ml-3031538,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/0/3031538-f-1-b-0-f1b0190210c689f7953aa160dd048693acdc7546_3031538.jpg
Ригла,Дермакосметика,Пантенол скорая помощь устройством алоэ вера 130г,468.0,468.0,https://www.rigla.ru/product/pantenol-skoraya-pomoshch-sprey-aloe-vera-130g-5007538,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007538-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Стизамет мазь 3% 35г,477.0,477.0,https://www.rigla.ru/product/stizamet-maz-3-35g-44977,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/44977-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,911 паста для ног Теймурова 50мл,98.5,98.5,https://www.rigla.ru/product/911-pasta-dlya-nog-teymurova-50ml-118636,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/118636-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Диклофенак мазь 2% 30г,207.0,207.0,https://www.rigla.ru/product/diklofenak-maz-2-30g-34631,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/3/4/34631-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"Гепар Сульфур С6 гранулы Гомеопат монокомп препарат природ происхожд 5,0",185.0,185.0,https://www.rigla.ru/product/gepar-sulfur-s6-granuly-gomeopat-monokomp-preparat-prirod-proiskhozhd-50-5006280,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5006280-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,ЭНТОМИКС ПОКРЫТИЕ ГИДРОГЕЛЕВОЕ ДЛЯ ПОДАВЛЕНИЯ РАЗВИТИЯ БАКТЕРИАЛЬНЫХ БИОПЛЕНОК 10МЛ,591.0,591.0,https://www.rigla.ru/product/entomiks-pokrytiye-gidrogelevoye-dlya-podavleniya-razvitiya-bakterialnykh-bioplenok-10ml-5007209,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007209-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Муравьиный спирт раствор для наружного применения 50мл,67.0,67.0,https://www.rigla.ru/product/muravinyy-spirt-r-r-dnaruzhprim-50ml-45061,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/5/45061-d-a-5-a-da5adb66571733b08caa6ec3d77ef1c2c43b789e_45061.jpg
